epoch,val_loss,val_auc,val_rmse_log
0,0.8510506375242243,0.8118860382384878,0.7409602403640747
1,0.8309626293267214,0.8204651035559031,0.7241816520690918
2,0.8235751530185904,0.8263413362160996,0.7172592878341675
3,0.8150814569282165,0.8315909839735,0.7139703035354614
4,0.8061243274810731,0.8344270819569435,0.7105017304420471
5,0.7983495901906604,0.8383665996652022,0.7021365165710449
6,0.7997321460478991,0.8384296718187084,0.7072892189025879
7,0.7949946066388607,0.839411275595769,0.7001045942306519
8,0.7894356741683666,0.840189394506716,0.6928690075874329
9,0.7939452372927369,0.8405771538723821,0.6991621255874634
10,0.7855954176774197,0.8425629735346412,0.6928682327270508
11,0.7914297388126438,0.8410290946960548,0.6958346962928772
12,0.7851010156704687,0.8426295683420314,0.6882941722869873
13,0.7872197416752509,0.8425978411032973,0.6914287209510803
14,0.7852932909042607,0.8429241721201565,0.6880846619606018
15,0.7846570606315408,0.8417419107909313,0.6880767941474915
16,0.7813942721279992,0.8432247943931228,0.6855868697166443
17,0.7821532416081163,0.8432100408316039,0.6853158473968506
18,0.7806583931795202,0.8433534055372061,0.6845515966415405
19,0.78150424452929,0.8429153813057484,0.6825476288795471
20,0.7781577835763975,0.843668154963072,0.6791765093803406
21,0.7774925246588635,0.8433996995072277,0.6780165433883667
22,0.7801487224534548,0.8436366804724942,0.6809552907943726
23,0.7757035254694974,0.84443538460957,0.6767197847366333
24,0.7775497762326411,0.8447103723433931,0.6825259923934937
25,0.7762386412826723,0.8445527290620021,0.6786801815032959
26,0.7773140847366801,0.8440898168589799,0.6768724322319031
27,0.7783738284158566,0.8440014292090845,0.6786534190177917
28,0.7765283870011892,0.8446345919673959,0.6783442497253418
29,0.7753763914041844,0.8444780617572438,0.676029622554779
30,0.7758513484277132,0.844552065362671,0.677280604839325
31,0.7742913612410801,0.8445833869236644,0.6755502223968506
32,0.7745175024027054,0.8450509246816151,0.6766848564147949
33,0.7742056958094625,0.8444900576894766,0.6732450723648071
34,0.7735998545922224,0.8447273821812983,0.672058641910553
35,0.7749510987043156,0.8449533386562019,0.6754329800605774
36,0.7718162396725863,0.8455358700450615,0.6716941595077515
37,0.7739007145399309,0.8448380817302695,0.6750192642211914
38,0.7729025633089074,0.8448609823705794,0.6734402775764465
39,0.775595358231411,0.8447518381079521,0.6749292612075806
40,0.774474684686505,0.8450143794076128,0.6734476685523987
41,0.7758523066803098,0.8440675964916504,0.6744703054428101
42,0.7723752059518882,0.8448282757798248,0.6714960932731628
43,0.768521902978108,0.8459922816107088,0.6670781373977661
44,0.769451851240097,0.8457363867212042,0.6677013039588928
45,0.7678846933955519,0.8464333414567571,0.667893648147583
46,0.768366339247275,0.8463879021597106,0.6669452786445618
47,0.7673301896012292,0.8464565374093687,0.6645284295082092
48,0.7674174482371481,0.8464827776400696,0.6656431555747986
49,0.7718552342702738,0.8457834001382871,0.672175407409668
