epoch,val_loss,val_auc,val_rmse_log,s_churn,s_ltv
0,0.7770929336547852,0.8082999411773303,0.7405381798744202,0.0204475000500679,0.039956092834472656
1,0.7469939589500427,0.8156586404617621,0.7178117632865906,-0.016379091888666153,0.017626116052269936
2,0.7331761121749878,0.8209155934318894,0.7152706384658813,-0.025797434151172638,-0.02011890895664692
3,0.7071334719657898,0.8281034941005744,0.7062227129936218,-0.03632389008998871,-0.0734342485666275
4,0.6860218048095703,0.8328716856244395,0.7075991630554199,-0.04493841901421547,-0.14025551080703735
5,0.6571824550628662,0.8372921009589077,0.696591854095459,-0.0627373456954956,-0.2169293761253357
6,0.6456426382064819,0.8368687304703977,0.7002424001693726,-0.05782632157206535,-0.29980066418647766
7,0.6221572756767273,0.8395939718318727,0.6934069991111755,-0.06947387009859085,-0.38399839401245117
8,0.6069930195808411,0.8397242520178037,0.6898583769798279,-0.07129102200269699,-0.4655730724334717
9,0.6016878485679626,0.8407314684869241,0.6917360424995422,-0.08038265258073807,-0.5391353368759155
10,0.5798715353012085,0.842440913502229,0.681678295135498,-0.07211055606603622,-0.6009253859519958
11,0.5814907550811768,0.8412377546842502,0.6835758090019226,-0.06908953934907913,-0.652508020401001
12,0.5768505334854126,0.8418223916799544,0.6816304326057434,-0.07200504839420319,-0.6875126957893372
13,0.574232816696167,0.8416121730153504,0.680189311504364,-0.07491999119520187,-0.7107295393943787
14,0.5705962181091309,0.841717804794288,0.6776201128959656,-0.07111803442239761,-0.7219846248626709
15,0.5680783987045288,0.8409523764021608,0.6767812371253967,-0.07890162616968155,-0.7356677055358887
16,0.5695884227752686,0.8420930077370263,0.67868572473526,-0.07725623995065689,-0.74141925573349
17,0.5655045509338379,0.8426064578943845,0.6755725145339966,-0.0879492238163948,-0.7496044039726257
18,0.5580582022666931,0.843353059750608,0.6721320152282715,-0.0794171467423439,-0.7506450414657593
19,0.5598700642585754,0.8427592330428846,0.6725556254386902,-0.08170901983976364,-0.7496331930160522
20,0.5578669309616089,0.8418595290852555,0.6707160472869873,-0.08357548713684082,-0.7557180523872375
21,0.5560039281845093,0.8430755648756117,0.670160174369812,-0.08459574729204178,-0.7582545280456543
22,0.5566084384918213,0.8436070030928742,0.6709225177764893,-0.07897526025772095,-0.7598013281822205
23,0.553700864315033,0.8432168548616253,0.6682177186012268,-0.07495861500501633,-0.7648265361785889
24,0.5581187009811401,0.8440924543293067,0.6725100874900818,-0.0901479497551918,-0.7618116736412048
25,0.5487222075462341,0.8447376412703895,0.6666074395179749,-0.08103039860725403,-0.7613520622253418
26,0.5513079166412354,0.8430679922244483,0.667057454586029,-0.08950557559728622,-0.7597855925559998
27,0.5517709255218506,0.8441590077025728,0.6675733327865601,-0.09383998066186905,-0.7674809098243713
28,0.5504192113876343,0.8428917017039079,0.666468620300293,-0.0762561559677124,-0.7693237662315369
29,0.5509750843048096,0.8435935788133866,0.6675089597702026,-0.08811395615339279,-0.7710444331169128
30,0.5523104667663574,0.8439606222470966,0.66871577501297,-0.09059631079435349,-0.7719099521636963
31,0.5459938645362854,0.8440214000801574,0.6649273633956909,-0.08322072774171829,-0.7716108560562134
32,0.5477373600006104,0.8442246450050257,0.6659197807312012,-0.08029388636350632,-0.7678881287574768
33,0.5481964349746704,0.8442587592259735,0.6660735607147217,-0.08435582369565964,-0.7807123064994812
34,0.5456464290618896,0.8444073721283853,0.6647747755050659,-0.0865786224603653,-0.7800760269165039
35,0.550774872303009,0.8441865862554773,0.6672103404998779,-0.08597386628389359,-0.775736927986145
36,0.5458044409751892,0.8431573317291728,0.6637632846832275,-0.0846424549818039,-0.7735875844955444
37,0.5471603870391846,0.8445432914985866,0.6659450531005859,-0.08331514149904251,-0.7758429646492004
38,0.54351806640625,0.8438032543142929,0.6628749370574951,-0.09020423889160156,-0.7733128666877747
39,0.5511633157730103,0.8436226531381661,0.6677505373954773,-0.08981446176767349,-0.7805325388908386
40,0.5479762554168701,0.8441983015656889,0.6654952168464661,-0.08075540512800217,-0.7723903059959412
41,0.5472005605697632,0.8442939714512061,0.665684163570404,-0.09008516371250153,-0.7919797897338867
42,0.5433465242385864,0.844649417473621,0.6634265780448914,-0.08464624732732773,-0.7900123000144958
43,0.544524073600769,0.8438891039357588,0.6628994345664978,-0.09036348760128021,-0.7775764465332031
44,0.5472774505615234,0.843812341571024,0.6652892827987671,-0.08431423455476761,-0.7923514246940613
45,0.5401113033294678,0.8451320523196458,0.6619338989257812,-0.0846083015203476,-0.7896397709846497
46,0.5426377654075623,0.8450716387302021,0.6632152795791626,-0.08684445172548294,-0.7737432718276978
47,0.5470464825630188,0.8441906501896896,0.6646649837493896,-0.08203718066215515,-0.7773259878158569
48,0.5403717756271362,0.8445741938215803,0.6613874435424805,-0.08584869652986526,-0.781184196472168
49,0.545479953289032,0.844898503606538,0.6650230884552002,-0.08442428708076477,-0.7864781618118286
