epoch,val_loss,val_auc,val_rmse_log
0,0.6807797341787272,0.8009084897246074,0.7375715970993042
1,0.6540995663130733,0.8101204729623286,0.7169312834739685
2,0.6467015630924831,0.8150674451975835,0.7114094495773315
3,0.6392263271522247,0.8215480894774789,0.7072511315345764
4,0.6343167333812125,0.8270302214676751,0.705826997756958
5,0.6211558095781662,0.831788765997462,0.6954730153083801
6,0.620410156320834,0.8328884148403234,0.695480227470398
7,0.6131648088584446,0.8376308546794764,0.6906232237815857
8,0.6094255416006213,0.8384709198657797,0.6878900527954102
9,0.6081324228501501,0.8400960257217738,0.687427818775177
10,0.6024337489049963,0.8402870340198167,0.6821762919425964
11,0.6052230799465479,0.8401542530961681,0.684648871421814
12,0.5978881082877995,0.8419272121034103,0.6780174970626831
13,0.6017098858366241,0.84093016959509,0.681312620639801
14,0.596573886276492,0.8410963999103338,0.6759513020515442
15,0.5940272127718386,0.8425424263525717,0.675109326839447
16,0.5964616083750648,0.8417099198804994,0.6770501136779785
17,0.5927533824735637,0.842550844259864,0.6734129190444946
18,0.5956241336208359,0.8414685845654789,0.6759200692176819
19,0.5913469103071151,0.8422869962786032,0.6719666123390198
20,0.591352840785822,0.8400486269673382,0.6709573268890381
21,0.5916696287782237,0.8425685343707497,0.6727556586265564
22,0.5900394802647693,0.8428728552042901,0.6709381341934204
23,0.5903844712623193,0.842615050955019,0.6710858345031738
24,0.5939514411633104,0.8429389927296214,0.6754972338676453
25,0.586407947983056,0.8427720399539254,0.6673498749732971
26,0.5864013047202795,0.8423398692341609,0.6664177775382996
27,0.58960025638546,0.8425422395223401,0.6699098944664001
28,0.5855962487942774,0.8434539608826117,0.6667494773864746
29,0.5859627471576685,0.8426883976412446,0.6667429208755493
30,0.5881331203703242,0.8430161863859192,0.6692590117454529
31,0.5840166337903561,0.8435698973281769,0.6653988361358643
32,0.584718910454103,0.843676661765394,0.6661195158958435
33,0.5845088885833196,0.8437135174186522,0.6659107208251953
34,0.5870050667408602,0.8428555560808648,0.6677865982055664
35,0.5895614202512067,0.8427604598696274,0.66982501745224
36,0.5831634492953063,0.8444553867445723,0.6648511290550232
37,0.5858319972406478,0.8433504580642976,0.6672340035438538
38,0.5834689573905797,0.8439175288748137,0.6652525663375854
39,0.5876605038864909,0.8437220901388985,0.6692735552787781
40,0.5853213901285743,0.8428542674796099,0.666356086730957
41,0.5848853135646006,0.8435086995037689,0.6661571264266968
42,0.5804242137616731,0.8439895843230675,0.6619579792022705
43,0.5820038168472268,0.8438905948108736,0.6632536053657532
44,0.5852926999299306,0.8427648119593382,0.6659414172172546
45,0.5800649800312764,0.8449218426952143,0.6622502207756042
46,0.5849365089206835,0.8437529114770135,0.6662441492080688
47,0.5826941132380592,0.8441748701919183,0.6638110280036926
48,0.5820741904381379,0.8444240222427598,0.6638625264167786
49,0.5844841715382525,0.8442774015683625,0.6663245558738708
