epoch,train_loss,val_loss,val_auc,val_rmse_log
0,1.0139148383900662,0.9711162616698489,0.8184215605088665,5.382024765014648
1,0.9669511546388355,0.9449570302452932,0.8296335154222205,5.382025241851807
2,0.9500750326168658,0.9390234495339432,0.832471906219414,5.382025241851807
3,0.9423820495954324,0.9336113219279099,0.8355188473927116,5.382025241851807
4,0.936452347038607,0.9288336304381212,0.837346547657828,5.382025241851807
5,0.9329430523611347,0.9231513949741657,0.8395266609674858,5.382025241851807
6,0.9297184921337505,0.9230891109809501,0.8402392955055646,5.382025241851807
7,0.9273785116647815,0.920572493922171,0.8405623656568686,5.382025241851807
8,0.9266288827510356,0.921780954059441,0.8401533385320503,5.382025241851807
9,0.9249554253695635,0.9180769035283777,0.8419906251467545,5.382025241851807
10,0.924414535889141,0.9228356573859269,0.8404394724218912,5.382025241851807
11,0.922830979470694,0.9190986271670989,0.8414326962106781,5.382025241851807
12,0.9229833476957294,0.920262784683834,0.8416540938019252,5.382025241851807
13,0.9209364707230088,0.9175773111880986,0.84239966470181,5.382025241851807
14,0.921520297465305,0.9204603413455323,0.8425726736397328,5.382025241851807
15,0.9197837033579598,0.9168601082061879,0.8430036371197948,5.382025241851807
16,0.920360510322168,0.918053857296029,0.8422446020129937,5.382025241851807
17,0.9187167731273067,0.9174789570010843,0.8423866163428289,5.382025241851807
18,0.9184553501952787,0.9154920844050787,0.8431233320170767,5.382025241851807
19,0.918501848332899,0.9177738226675036,0.8429037424603294,5.382025241851807
20,0.9186188011038701,0.9150151832016967,0.8431831161845101,5.382025241851807
21,0.9170726336656888,0.9162840032411035,0.8433153983919758,5.382025241851807
22,0.9177693627271146,0.9184055794897344,0.8432399837662911,5.382025241851807
23,0.9171191871744481,0.9165480455440436,0.8429782315983546,5.382025241851807
24,0.9160791243250047,0.9182796872621001,0.8426211722818225,5.382025241851807
25,0.916331528015563,0.9162672668763483,0.8432095014346448,5.382025241851807
26,0.9159545750868086,0.9142699613128714,0.8437974173762492,5.382025241851807
27,0.9152303645324114,0.913692212384932,0.8437111206429183,5.382025241851807
28,0.9163677014561865,0.9146083507007027,0.8432946553395023,5.382025241851807
29,0.9156862000467548,0.9136865003966671,0.8439709182502257,5.382025241851807
30,0.9145430734264857,0.915369922291661,0.8430526913558192,5.382025241851807
31,0.9150727858588861,0.9150792418013519,0.8433873242644236,5.382025241851807
32,0.9147040472858032,0.9128263466339296,0.844480958755856,5.382025241851807
33,0.9138745118333986,0.913297403026815,0.8443908753202694,5.382025241851807
34,0.9140375216964669,0.9166861844843981,0.8435828119679398,5.382025241851807
35,0.9138022503490495,0.9141435292081832,0.8443666574514915,5.382025241851807
36,0.9132195661499558,0.9136906481916126,0.8448001495431362,5.382025241851807
37,0.9133968607084599,0.9134707891286356,0.8446553429300203,5.382025241851807
38,0.9126130561800513,0.9127153958668561,0.844469469826631,5.382025241851807
39,0.9120320506241404,0.9119123459118428,0.8447370562958941,5.382025241851807
40,0.9124664708931822,0.912294090793039,0.8445240830153948,5.382025241851807
41,0.9133299300226996,0.9126524276792307,0.8442687504999544,5.382025241851807
42,0.9131258029526603,0.9127933855038834,0.8445062200112101,5.382025241851807
43,0.9129456197162523,0.9116725782043776,0.8444992168909139,5.382025241851807
44,0.9110284309261002,0.9115570561428333,0.8446121241253441,5.382025241851807
45,0.9112928667797865,0.9164742760055095,0.8439608286643686,5.382025241851807
46,0.9099605954535975,0.9151934689942087,0.8432999525039129,5.382025241851807
47,0.9119483143788096,0.9143680238621306,0.8437137716735038,5.382025241851807
48,0.9116495965250054,0.9115059330525199,0.8450154559414881,5.382025241851807
49,0.9116520190439759,0.9126135231393031,0.844713079121709,5.382025241851807
