epoch,val_loss,val_auc,val_rmse_log
0,0.768393551229198,0.8070681630565879,0.7411669492721558
1,0.7432500765942176,0.8157830720327597,0.7183238863945007
2,0.7389269469855888,0.8220672500104657,0.7169432044029236
3,0.7265758981840937,0.827747855974494,0.7073490619659424
4,0.7206783494417726,0.8326245725091703,0.7088329195976257
5,0.7091636540094317,0.8372513139606339,0.6983731389045715
6,0.7101546359139033,0.8366840661134061,0.6992180943489075
7,0.705884053896974,0.8395886577171384,0.6970743536949158
8,0.7003990312442694,0.8391762107703985,0.689422607421875
9,0.7022478207135434,0.8405339377044229,0.6924143433570862
10,0.6924540572551748,0.8424468344385423,0.6843213438987732
11,0.6971631722881184,0.8410986339629627,0.6869320869445801
12,0.6912951972931363,0.842055881631941,0.6814814209938049
13,0.6938799672788207,0.8414981026120586,0.6829972267150879
14,0.6911810595024444,0.8425705036216593,0.680610179901123
15,0.688908232868366,0.8420231441539299,0.6789238452911377
16,0.6892625474823358,0.84209506927303,0.6793208718299866
17,0.6862535821906477,0.843085664254989,0.6759274005889893
18,0.685335905118182,0.8437652678861246,0.6764702200889587
19,0.6855663344153977,0.8437361152131837,0.67655348777771
20,0.6864901664662204,0.8424658786919338,0.676243007183075
21,0.6834394795651786,0.8435613212178659,0.6734471321105957
22,0.6850750526205972,0.8435318807661003,0.6747927665710449
23,0.6812916685862719,0.8441363824108501,0.6702007055282593
24,0.6840369290560063,0.8440279602320009,0.6750108599662781
25,0.6833658265542453,0.8437728733079136,0.6735223531723022
26,0.6819213511292465,0.8425807058329986,0.6697202324867249
27,0.6822442195652251,0.8436538285497038,0.6709474921226501
28,0.6821591198524405,0.844124741305388,0.6720594763755798
29,0.6818325753238068,0.8438494081616406,0.6712034344673157
30,0.6771575048195686,0.844990530302538,0.6667255163192749
31,0.6749368013960412,0.8450525850599643,0.6640395522117615
32,0.676448180900975,0.8449943271749878,0.6656898856163025
33,0.67595721673442,0.8453789428206671,0.6647908687591553
34,0.6761919928314191,0.845129270583233,0.6650920510292053
35,0.6759041117772618,0.8453662086076803,0.6652260422706604
36,0.6739540521095979,0.8458473770623911,0.6631259918212891
37,0.6757033206631518,0.8457008290860474,0.6655341386795044
38,0.6738522005822333,0.845090374111033,0.6625896096229553
39,0.6755799223716521,0.8451352815445974,0.6642541885375977
40,0.6749222576662215,0.8453727521858744,0.6638725399971008
41,0.6765680947827384,0.8436855169910309,0.6635316014289856
42,0.6735433498028542,0.8450024912041024,0.6618058681488037
43,0.6732202441448715,0.8456176436787517,0.661736011505127
44,0.6730570754653354,0.8456484567300417,0.661526083946228
45,0.6710599795754234,0.8463920595090388,0.660476565361023
46,0.6740962109710444,0.8456956611207687,0.6633793115615845
47,0.6731999403240698,0.8458854218750067,0.6618931293487549
48,0.6721124610517335,0.846337445943601,0.6613937616348267
49,0.6727778735642019,0.8457841753330789,0.6614915728569031
