epoch,val_loss,val_auc,val_rmse_log
0,1.5338740300760825,0.8094226081827443,0.7406986355781555
1,1.4872408203867693,0.816016433162288,0.7195136547088623
2,1.4794892958383263,0.8223075709427969,0.7185181975364685
3,1.4495665042812078,0.830094456490964,0.7088547348976135
4,1.4344477629731993,0.8343391011148108,0.7064412236213684
5,1.4119521007291964,0.8387534064226911,0.6960548758506775
6,1.4152745419338084,0.837747681205359,0.697212815284729
7,1.4081361183059509,0.8377984187968378,0.6930715441703796
8,1.3977162144664983,0.8405304839818544,0.6899756193161011
9,1.3943538576752703,0.8418344493866993,0.689297080039978
10,1.383019523748987,0.8426198015656673,0.6827639937400818
11,1.3934708790401653,0.8406352848182698,0.6863526105880737
12,1.3786168618763759,0.8431740519048841,0.6800899505615234
13,1.3857747628918682,0.8428900183484538,0.6841944456100464
14,1.3854395788748728,0.8410421878792247,0.6808720231056213
15,1.3721096472346703,0.8426735736417149,0.6759048104286194
16,1.3742398374077778,0.8433910484388194,0.6787635684013367
17,1.373804917206008,0.8432082384472119,0.6766892075538635
18,1.3685731206481946,0.8435799541434085,0.6749057173728943
19,1.371294000323417,0.8433681278347951,0.6760322451591492
20,1.3726530322824306,0.8422925179406311,0.675506591796875
21,1.3643892358881973,0.8439913919808935,0.6724219918251038
22,1.3673399264514405,0.843592945247964,0.6738161444664001
23,1.3630372099313253,0.8440902730110171,0.6708763241767883
24,1.3706022061860783,0.8437355219518632,0.675534188747406
25,1.3577812200402901,0.8444652725498742,0.6687038540840149
26,1.360180694657203,0.8443421977580993,0.6693149209022522
27,1.3621262146303825,0.8446808237862313,0.670826256275177
28,1.3678823589422215,0.8427472800514713,0.6721553206443787
29,1.3587387309436816,0.8441815591662201,0.6688697934150696
30,1.362607210444751,0.8446206685950514,0.6709142923355103
31,1.360528260920053,0.8441123159649614,0.6701469421386719
32,1.3511831031288095,0.8452082338532976,0.6653216481208801
33,1.3517520964033607,0.8453890885309283,0.6652600765228271
34,1.3502487423677036,0.8451403391444369,0.664122998714447
35,1.3556190250919413,0.8447528389303826,0.6672709584236145
36,1.3478569817611863,0.8458271703934857,0.6637871861457825
37,1.352035762827653,0.8455255329844822,0.6663122773170471
38,1.350543706738358,0.8452914057003345,0.6648146510124207
39,1.3498087492760067,0.8456475734298539,0.6642088294029236
40,1.350628256644917,0.8451745648608454,0.6646166443824768
41,1.351065272175259,0.8454018536311713,0.6648876070976257
42,1.34804305111752,0.8456462599681247,0.6635687351226807
43,1.3435595540771776,0.8461997987704309,0.661078691482544
44,1.3443955191521257,0.8461763722934205,0.6615965366363525
45,1.34145982745303,0.8465367553800414,0.6604204177856445
46,1.3437846299368408,0.8461823708245476,0.6611120104789734
47,1.3433048745401917,0.846159208395909,0.6607538461685181
48,1.3415312913283095,0.8464691379031374,0.6599143743515015
49,1.3438560686272167,0.8463184178871854,0.6612890362739563
